AppID,Name,Release date,Estimated owners,Price,Metacritic score,Recommendations,Positive,Negative,Publishers,Genres
1026420,WARSAW,"October 02, 2019",20000 - 50000,23.99,62,427,589,212,"Pixelated Milk,gaming company","Indie,RPG"
22670,Alien Breed 3: Descent,"November 17, 2010",200000 - 500000,9.99,64,285,349,134,Team17 Digital Ltd,Action
231330,Deadfall Adventures,"November 15, 2013",100000 - 200000,19.99,53,1140,1716,628,THQ Nordic,"Action,Adventure"
897820,Reigns: Game of Thrones,"October 18, 2018",50000 - 100000,3.99,84,815,698,203,Devolver Digital,"Adventure,Indie,RPG"
12140,Max Payne,"January 06, 2011",500000 - 1000000,3.49,89,8684,9516,1114,Rockstar Games,Action
368080,Aurion: Legacy of the Kori-Odan,"April 14, 2016",20000 - 50000,14.99,70,102,207,98,Dear Villagers,"Action,Adventure,Indie,RPG"
457140,Oxygen Not Included,"July 30, 2019",2000000 - 5000000,24.99,86,80467,82902,3014,Klei Entertainment,"Indie,Simulation"
242530,The Chaos Engine,"August 29, 2013",100000 - 200000,9.99,40,226,245,130,Rebellion,Action
1345820,Ragnarock,"July 15, 2021",50000 - 100000,16.24,87,1996,2108,111,WanadevStudio,"Casual,Indie,Racing,Sports"
7940,Call of Duty® 4: Modern Warfare®,"November 12, 2007",1000000 - 2000000,9.99,92,13997,16788,1211,Activision,Action
761910,Worbital,"January 31, 2019",0 - 20000,12.99,76,317,332,33,"Team Jolly Roger,Advanced Interactive Gaming","Action,Indie,Strategy"
975470,Silver Chains,"August 06, 2019",20000 - 50000,24.99,51,377,420,147,Headup,"Adventure,Indie"
821260,LIGHT,"April 05, 2018",0 - 20000,0.99,49,0,5,4,Indie Light,"Action,Indie"
748490,The Legend of Heroes: Trails of Cold Steel II,"February 14, 2018",50000 - 100000,39.99,81,1992,2113,125,"XSEED Games,Marvelous USA, Inc.",RPG
351910,Valhalla Hills,"December 02, 2015",200000 - 500000,0.69,69,604,646,544,Daedalic Entertainment,"Indie,Simulation,Strategy"
1089830,Monster Energy Supercross - The Official Videogame 3,"February 04, 2020",20000 - 50000,29.99,72,735,900,126,Milestone S.r.l.,"Racing,Simulation,Sports"
809890,Shining Resonance Refrain,"July 09, 2018",20000 - 50000,29.99,68,751,770,316,SEGA,"Adventure,RPG"
553260,Realpolitiks,"February 16, 2017",50000 - 100000,14.99,52,798,671,404,Fulqrum Publishing,Strategy
3010,Xpand Rally,"August 24, 2006",20000 - 50000,4.99,82,311,293,73,Techland,Racing
286750,Zoo Empire,"September 03, 2015",20000 - 50000,6.99,59,111,98,32,"Retroism,Enlight Software Limited","Casual,Simulation,Strategy"
237430,Expeditions: Conquistador,"May 30, 2013",100000 - 200000,19.99,77,1011,1079,268,THQ Nordic,"Indie,RPG,Strategy"
291690,Empathy: Path of Whispers,"May 16, 2017",0 - 20000,19.99,59,133,110,69,Iceberg Interactive,"Adventure,Indie"
410320,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,"July 18, 2016",1000000 - 2000000,19.99,79,5577,7129,401,D3PUBLISHER,Action
299480,Rogue Stormers,"April 21, 2016",200000 - 500000,19.99,68,626,656,297,"HandyGames,Black Forest Games","Action,Indie"
523210,A Normal Lost Phone,"January 26, 2017",50000 - 100000,2.99,71,1720,1845,231,PID Games,"Casual,Indie"
839770,Phoenix Point,"December 03, 2020",200000 - 500000,24.99,74,3237,3087,1188,Snapshot Games Inc.,"RPG,Strategy"
360840,Lumini,"September 03, 2015",0 - 20000,12.99,69,0,128,20,2Awesome Studio,"Adventure,Indie"
821880,Idol Manager,"July 26, 2021",100000 - 200000,19.99,73,2533,2479,301,PLAYISM,"Indie,Simulation,Strategy"
294440,Shadowgate,"August 21, 2014",50000 - 100000,14.99,68,435,544,83,Zojoi,"Adventure,Indie"
1228870,Bartlow's Dread Machine,"September 29, 2020",0 - 20000,14.99,70,0,43,6,"Beep Games, Inc.",Action
1127500,Mini Motorways,"July 20, 2021",200000 - 500000,9.99,87,13204,13145,548,Dinosaur Polo Club,"Casual,Indie,Simulation,Strategy"
1471960,Room to Grow,"February 25, 2021",0 - 20000,9.99,76,109,117,4,Mischka Kamener,"Casual,Indie,Strategy"
559210,Rakuen,"May 10, 2017",100000 - 200000,9.99,84,3986,4930,168,Laura Shigihara,"Adventure,Indie,RPG"
42920,The Kings' Crusade,"October 08, 2010",50000 - 100000,9.99,71,0,57,89,Paradox Interactive,Strategy
226620,Desktop Dungeons,"November 07, 2013",100000 - 200000,14.99,82,1025,1239,132,QCF Design,"Adventure,Casual,Indie,RPG,Strategy"
404730,Wasteland 2: Director's Cut,"September 18, 2014",500000 - 1000000,29.99,87,4553,0,0,inXile Entertainment,"Adventure,Indie,RPG,Strategy"
236490,Hexodius,"June 21, 2013",0 - 20000,9.99,47,0,26,16,BANDAI NAMCO Entertainment,"Action,Indie"
346940,Shadowrun: Hong Kong - Extended Edition,"August 20, 2015",500000 - 1000000,19.99,81,3026,3578,562,Paradox Interactive,"Adventure,Indie,RPG,Strategy"
40420,Tidalis,"July 16, 2010",100000 - 200000,4.99,75,0,146,77,"Arcen Games, LLC","Casual,Indie"
350970,Planet of the Eyes,"August 24, 2015",50000 - 100000,9.99,66,134,421,86,Cococucumber,"Action,Adventure,Indie"
312540,Ys VI: The Ark of Napishtim,"April 28, 2015",100000 - 200000,19.99,76,842,843,93,"XSEED Games,Marvelous USA, Inc.","Action,Adventure,RPG"
270880,American Truck Simulator,"February 02, 2016",2000000 - 5000000,19.99,76,87888,104521,3859,SCS Software,"Indie,Simulation"
251990,Long Live The Queen,"November 08, 2013",200000 - 500000,9.99,67,5432,6383,331,Hanako Games,"Indie,RPG,Simulation,Strategy"
11370,Nikopol: Secrets of the Immortals,"July 30, 2009",100000 - 200000,4.99,68,235,190,156,Meridian4,"Adventure,Indie"
651670,Star Renegades,"September 08, 2020",200000 - 500000,24.99,77,1831,1783,300,Raw Fury,"Action,Indie,RPG,Simulation,Strategy"
22380,Fallout: New Vegas,"October 19, 2010",2000000 - 5000000,9.99,84,127087,154845,5667,Bethesda Softworks,"Action,RPG"
710920,Darksiders Genesis,"December 05, 2019",500000 - 1000000,29.99,77,7299,8056,1593,THQ Nordic,"Action,Adventure"
216210,Secret Files 3,"September 13, 2012",20000 - 50000,1.99,67,114,88,43,Ravenscourt,Adventure
17100,Children of the Nile: Enhanced Edition,"July 08, 2008",50000 - 100000,7.99,75,335,305,61,"Tilted Mill Entertainment, Inc.","Strategy,Simulation"
503620,Fictorum,"August 09, 2017",100000 - 200000,9.99,64,893,772,229,Scraping Bottom Games,"Action,Indie,RPG"
355530,Last Word,"May 08, 2015",20000 - 50000,9.99,67,206,309,64,Komodo,"Adventure,Casual,Indie,RPG"
913740,WORLD OF HORROR,"February 20, 2020",200000 - 500000,14.99,80,4650,4796,269,Ysbryd Games,"Indie,RPG,Early Access"
642830,Milanoir,"May 31, 2018",20000 - 50000,12.99,75,0,72,33,Good Shepherd Entertainment,"Sexual Content,Nudity,Violent,Action,Adventure,Indie"
1207650,Suzerain,"December 04, 2020",500000 - 1000000,14.99,81,3760,3756,285,Fellow Traveller,"Adventure,Indie,RPG"
21680,Bionic Commando: Rearmed,"July 28, 2009",200000 - 500000,9.99,86,589,566,361,Capcom,Action
765880,The Occupation,"March 05, 2019",0 - 20000,29.99,68,137,178,108,Humble Games,"Adventure,Indie"
1530,Multiwinia,"September 19, 2008",500000 - 1000000,9.99,76,351,427,94,Introversion Software,Indie
353540,Stephen's Sausage Roll,"April 17, 2016",50000 - 100000,29.99,90,850,1157,57,increpare games,Indie
681730,Nowhere Prophet,"July 19, 2019",50000 - 100000,24.99,73,595,672,236,No More Robots,"Indie,RPG,Strategy"
979310,Disjunction,"January 28, 2021",50000 - 100000,15.99,67,0,89,16,Fireshine Games,"Action,Indie,RPG"
1203220,NARAKA: BLADEPOINT,"August 11, 2021",5000000 - 10000000,19.99,71,99084,86893,24106,NetEase Games Montréal,"Action,Adventure,Massively Multiplayer"
241410,CastleStorm,"July 29, 2013",100000 - 200000,9.99,73,1141,1322,155,Zen Studios,"Action,Indie,Strategy"
278440,0RBITALIS,"May 28, 2015",50000 - 100000,9.99,73,133,207,83,Mastertronic,"Indie,Simulation"
11040,Sherlock Holmes - Nemesis,"August 07, 2008",100000 - 200000,1.99,71,362,314,116,Frogwares,"Adventure,RPG"
265590,The Red Solstice,"July 09, 2015",1000000 - 2000000,9.99,74,810,1706,648,Ironward,"Action,RPG,Strategy"
840370,Someday You'll Return,"May 05, 2020",20000 - 50000,19.99,66,430,505,80,CBE software,"Adventure,Indie"
860900,Bounty Battle,"September 10, 2020",0 - 20000,19.99,39,0,15,34,Dark Screen Games,"Action,Indie"
527230,For The King,"April 19, 2018",1000000 - 2000000,5.99,79,19554,25040,3101,Curve Games,"Adventure,Indie,RPG,Strategy"
94200,Jamestown,"June 08, 2011",500000 - 1000000,9.99,81,615,2114,125,Final Form Games,"Action,Indie"
763890,Wildermyth,"June 15, 2021",200000 - 500000,24.99,87,11988,12399,637,"Worldwalker Games LLC,WhisperGames","Indie,RPG,Strategy"
589780,The Red Strings Club,"January 22, 2018",200000 - 500000,14.99,80,7786,7983,488,Devolver Digital,"Adventure,Indie"
581660,Super Meat Boy Forever,"January 10, 2022",20000 - 50000,19.99,70,500,295,289,Team Meat,"Action,Adventure,Indie"
279260,Richard & Alice,"June 05, 2014",50000 - 100000,5.99,70,280,290,105,Owl Cave,"Adventure,Indie"
793460,112 Operator,"April 23, 2020",200000 - 500000,24.99,73,3170,3279,455,Games Operators,"Indie,Simulation,Strategy"
1015940,Welcome to Elk,"September 17, 2020",0 - 20000,14.99,82,139,172,5,Triple Topping,"Adventure,Indie"
814380,Sekiro™: Shadows Die Twice - GOTY Edition,"March 21, 2019",5000000 - 10000000,59.99,88,134041,179498,9339,"Activision (Excluding Japan and Asia),FromSoftware (Japan),方块游戏 (Asia)","Action,Adventure"
6120,Shank,"October 25, 2010",200000 - 500000,9.99,67,2031,2687,308,Klei Entertainment,"Action,Indie"
1048740,Half Past Fate,"March 12, 2020",0 - 20000,19.99,78,154,206,11,Way Down Deep,"Adventure,Indie,RPG,Simulation"
251470,TowerFall Ascension,"March 11, 2014",200000 - 500000,14.99,87,2386,2795,155,Matt Makes Games Inc.,"Action,Indie"
204120,LEGO® Harry Potter: Years 5-7,"January 05, 2012",200000 - 500000,19.99,80,1612,2052,250,Warner Bros. Interactive Entertainment,Adventure
1359980,POSTAL: Brain Damaged,"June 09, 2022",50000 - 100000,19.99,75,2247,2403,91,"Running With Scissors,Hyperstrange",Action
462770,Pyre,"July 25, 2017",500000 - 1000000,19.99,82,7023,7108,733,Supergiant Games,"Action,Indie,RPG"
1057090,Ori and the Will of the Wisps,"March 10, 2020",2000000 - 5000000,29.99,88,81724,86228,3149,Xbox Game Studios,Action
302010,The Blue Flamingo,"November 18, 2014",200000 - 500000,9.99,55,0,280,322,Might and Delight,"Action,Indie"
214970,Intrusion 2,"September 11, 2012",200000 - 500000,9.99,80,972,1342,204,Aleksey Abramenko,"Action,Indie"
28000,Kane & Lynch 2: Dog Days,"August 17, 2010",500000 - 1000000,9.99,66,5205,4748,2863,Square Enix,Action
783450,HYPERGUN,"August 23, 2018",0 - 20000,9.99,62,0,40,28,NVYVE® Studios,"Action,Indie"
441680,Obscuritas,"March 17, 2016",50000 - 100000,14.99,63,0,114,64,Ravenscourt,Adventure
1356670,Sakuna: Of Rice and Ruin,"November 10, 2020",100000 - 200000,29.99,82,3320,3613,260,"XSEED Games,Marvelous USA, Inc.","Action,Indie"
312560,Xanadu Next,"November 03, 2016",20000 - 50000,14.99,78,379,386,31,"XSEED Games,Marvelous USA, Inc.","Action,RPG"
581320,Insurgency: Sandstorm,"December 12, 2018",2000000 - 5000000,14.99,78,74596,82246,14439,Focus Entertainment,Action
260570,Gray Matter,"April 01, 2014",50000 - 100000,9.99,72,444,562,64,Viva Media Inc,"Adventure,Casual"
272620,Serious Sam's Bogus Detour,"June 20, 2017",50000 - 100000,9.99,76,318,334,67,Devolver Digital,"Action,Indie"
17470,Dead Space,"January 09, 2009",1000000 - 2000000,19.99,86,16949,20216,1946,Electronic Arts,"Action,Adventure"
23490,Tropico 3,"October 20, 2009",1000000 - 2000000,9.99,79,716,1517,198,Kalypso Media Digital,"Simulation,Strategy"
1647730,Zool Redimensioned,"August 18, 2021",0 - 20000,9.99,65,0,82,1,Secret Mode,"Action,Adventure"
281580,Wings Over Europe,"May 30, 2014",20000 - 50000,1.99,62,0,59,43,Strategy First,Simulation
15500,The Wonderful End of the World,"July 17, 2008",100000 - 200000,4.99,69,493,465,143,"Dejobaan Games, LLC","Casual,Indie"
542050,Forgotton Anne,"May 15, 2018",100000 - 200000,19.99,76,1184,1389,136,ThroughLine Games,"Action,Adventure,Casual,Indie"
394970,DEADBOLT,"March 14, 2016",200000 - 500000,9.99,76,3747,4247,178,Hopoo Games,"Action,Indie"
1262580,Need for Speed™ Payback,"June 18, 2020",1000000 - 2000000,29.99,62,8052,8972,1327,Electronic Arts,"Action,Adventure,Racing,Sports,Strategy"
273620,Freespace 2,"June 06, 2014",20000 - 50000,9.99,91,266,216,63,Interplay Corp,Action
301560,White Night,"March 03, 2015",0 - 20000,14.99,68,241,240,76,Plug In Digital,Adventure
359630,Independence War® 2: Edge of Chaos,"May 07, 2015",0 - 20000,5.99,83,0,51,19,Atari,"Action,Simulation"
929010,Swag and Sorcery,"May 09, 2019",200000 - 500000,12.99,51,2025,1459,1255,tinyBuild,"Adventure,Indie,RPG,Simulation,Strategy"
1097130,Circuit Superstars,"October 12, 2021",200000 - 500000,19.99,82,1238,1269,172,Square Enix,"Action,Casual,Indie,Racing,Simulation,Sports"
25800,Europa Universalis III Complete,"February 04, 2009",200000 - 500000,14.99,83,1255,1525,296,Paradox Interactive,Strategy
245470,Democracy 3,"October 14, 2013",200000 - 500000,24.99,70,6158,5338,1816,Positech Games,"Indie,Simulation,Strategy"
1025410,Metamorphosis,"August 12, 2020",0 - 20000,24.99,69,343,385,60,All in! Games,"Action,Adventure,Indie"
48800,Ship Simulator Extremes,"August 27, 2010",100000 - 200000,4.99,49,1486,1014,1003,Paradox Interactive,Simulation
252030,Valdis Story: Abyssal City,"October 30, 2013",200000 - 500000,14.99,83,2135,2155,398,Endlessfluff Games,"Action,Indie,RPG"
960690,One Step From Eden,"March 26, 2020",200000 - 500000,19.99,82,4968,5820,373,"Humble Games,Maple Whispering Limited","Action,Adventure,Indie,Strategy"
241760,Kill to Collect,"April 06, 2016",20000 - 50000,9.99,57,152,181,81,"HandyGames,Pieces Interactive","Action,Adventure,Indie"
115800,Owlboy,"November 01, 2016",200000 - 500000,24.99,88,3033,4444,791,D-Pad Studio,"Action,Adventure,Indie"
1005300,The Jackbox Party Pack 6,"October 16, 2019",200000 - 500000,29.99,80,1786,2228,110,"Jackbox Games, Inc.","Casual,Indie"
415200,Motorsport Manager,"November 09, 2016",500000 - 1000000,19.99,81,9311,10633,968,SEGA,"Racing,Simulation,Sports,Strategy"
1011670,Totally Reliable Delivery Service,"April 01, 2021",50000 - 100000,14.99,64,418,483,117,tinyBuild,"Action,Adventure,Casual,Indie,Racing,Simulation"
