AppID,Name,Release date,Estimated owners,Price,Metacritic score,Recommendations,Positive,Negative,Publishers,Genres
350110,TransOcean 2: Rivals,"May 10, 2016",100000 - 200000,29.99,69,428,305,281,astragon Entertainment,"Simulation,Strategy"
312780,Way of the Samurai 4,"July 23, 2015",200000 - 500000,24.99,72,1475,1288,318,"Spike Chunsoft Co., Ltd.","Action,Adventure"
230150,Incredipede,"March 18, 2013",50000 - 100000,9.99,74,140,243,96,Northway Games,"Action,Adventure,Casual,Indie,Simulation"
1252300,RetroMania Wrestling,"February 25, 2021",0 - 20000,29.99,66,174,211,30,Retrosoft Studios,"Action,Sports"
760650,Hammerting,"November 16, 2021",100000 - 200000,9.99,64,1358,1328,705,Team17 Digital,"Adventure,Indie,RPG,Simulation,Strategy"
485510,Nioh: Complete Edition,"November 07, 2017",1000000 - 2000000,49.99,84,22411,23944,5778,"KOEI TECMO GAMES CO., LTD.","Action,RPG"
203630,Warlock - Master of the Arcane,"May 08, 2012",500000 - 1000000,24.99,71,867,2083,329,Paradox Interactive,Strategy
265300,Lords Of The Fallen™,"October 28, 2014",500000 - 1000000,29.99,73,11310,10687,7067,CI Games,"Action,RPG"
201810,Wolfenstein: The New Order,"May 19, 2014",2000000 - 5000000,19.99,81,33687,42568,4282,Bethesda Softworks,Action
48110,Silent Hunter 5®: Battle of the Atlantic,"March 07, 2010",100000 - 200000,9.99,62,2164,981,1261,Ubisoft,Simulation
1019450,Table Manners: Physics-Based Dating Game,"February 14, 2020",20000 - 50000,8.99,51,303,251,181,Curve Games,Simulation
1184050,Gears Tactics,"April 28, 2020",100000 - 200000,39.99,80,5323,4298,1321,Xbox Game Studios,Strategy
366870,Narcosis,"March 28, 2017",50000 - 100000,14.99,72,896,797,265,"Honor Code, Inc.","Adventure,Indie"
297120,Heavy Bullets,"September 18, 2014",100000 - 200000,9.99,72,1129,1166,254,Devolver Digital,"Action,Indie"
319740,There Came an Echo,"February 24, 2015",20000 - 50000,14.99,58,236,271,97,Iridium Studios,"Indie,Strategy"
446460,Highland Warriors,"March 04, 2016",0 - 20000,2.39,58,0,29,17,United Independent Entertainment,Strategy
216110,Tiny Troopers,"August 24, 2012",100000 - 200000,4.99,57,950,923,220,Iceberg Interactive,"Action,Indie,Strategy"
49540,Aliens: Colonial Marines Collection,"May 01, 2012",500000 - 1000000,29.99,45,6864,6516,4360,SEGA,Action
202130,Impire,"February 14, 2013",100000 - 200000,4.99,45,317,188,233,Paradox Interactive,Strategy
1030430,ARCADE,"October 14, 2020",0 - 20000,2.99,78,0,17,2,EYEFRONT,"Action,Adventure,Casual,Massively Multiplayer"
424320,Anomaly 1729,"December 30, 2015",0 - 20000,9.99,49,0,28,6,Black Shell Media,"Adventure,Casual,Indie"
1000760,Foregone,"March 01, 2021",20000 - 50000,19.99,71,609,554,116,Big Blue Bubble,"Action,Adventure,Indie"
334940,Yoku's Island Express,"May 29, 2018",200000 - 500000,19.99,84,2118,3401,129,Team17 Digital Ltd,"Adventure,Indie"
209190,Stealth Bastard Deluxe,"November 28, 2012",200000 - 500000,0.99,80,584,922,115,Curve Games,"Action,Indie"
236730,Anomaly 2,"May 15, 2013",200000 - 500000,2.24,77,319,691,175,11 bit studios,"Action,Indie,Strategy"
257830,Violett Remastered,"December 13, 2013",100000 - 200000,9.99,61,497,494,284,Forever Entertainment S. A.,"Adventure,Indie"
215710,Fieldrunners 2,"January 10, 2013",100000 - 200000,9.99,73,311,376,65,Subatomic Studios LLC,"Action,Strategy,Casual"
632470,Disco Elysium - The Final Cut,"October 15, 2019",1000000 - 2000000,39.99,97,54491,55250,3244,ZA/UM,RPG
770390,Draugen,"May 29, 2019",50000 - 100000,19.99,73,1463,1216,393,Red Thread Games,"Adventure,Indie"
1237970,Titanfall® 2,"June 18, 2020",2000000 - 5000000,29.99,86,101602,115504,6465,Electronic Arts,Action
594130,Winds of Change,"August 21, 2019",20000 - 50000,10.99,74,423,437,13,Klace,"Adventure,Indie,RPG"
312510,Mega Coin Squad,"August 15, 2014",0 - 20000,14.99,56,0,68,13,Adult Swim Games,"Action,Indie"
1003090,Through the Darkest of Times,"January 30, 2020",50000 - 100000,14.99,71,551,734,132,HandyGames,"Adventure,Indie,Simulation,Strategy"
8980,Borderlands Game of the Year,"August 31, 2023",5000000 - 10000000,29.99,81,19047,27945,2892,2K,"Action,RPG"
446800,Transport Fever,"November 08, 2016",500000 - 1000000,29.99,71,8742,8468,1700,Good Shepherd Entertainment,Simulation
366320,Seasons after Fall,"September 02, 2016",100000 - 200000,9.99,75,1951,2149,505,Focus Entertainment,"Adventure,Indie"
46450,Grotesque Tactics: Evil Heroes,"October 15, 2010",100000 - 200000,0.99,65,289,253,158,Headup,"Indie,RPG,Strategy"
30,Day of Defeat,"May 01, 2003",5000000 - 10000000,4.99,79,3246,5179,566,Valve,Action
207420,Wizorb,"March 14, 2012",200000 - 500000,2.99,81,485,627,261,Tribute Games Inc.,"Action,Adventure,Indie"
209330,A Valley Without Wind,"April 24, 2012",100000 - 200000,14.99,54,185,284,201,"Arcen Games, LLC","Action,Adventure,Indie"
893180,Catherine Classic,"January 10, 2019",200000 - 500000,19.99,80,5567,6312,861,SEGA,Adventure
2510710,Kunitsu-Gami: Path of the Goddess,"July 18, 2024",20000 - 50000,49.99,84,843,1002,94,"CAPCOM Co., Ltd.","Action,Strategy"
205230,Hell Yeah! Wrath of the Dead Rabbit,"October 03, 2012",1000000 - 2000000,14.99,64,518,3013,506,SEGA,Action
940680,The Textorcist: The Story of Ray Bibbia,"February 14, 2019",100000 - 200000,14.99,78,715,827,177,Headup,"Action,Indie"
255960,Bad Mojo Redux,"July 03, 2014",20000 - 50000,5.99,74,112,123,20,Nightdive Studios,"Adventure,Simulation"
620980,Beat Saber,"May 21, 2019",2000000 - 5000000,29.99,93,58334,61280,2549,Beat Games,Indie
865360,We Were Here Together,"October 10, 2019",200000 - 500000,12.99,77,7783,8253,1392,Total Mayhem Games,"Adventure,Casual,Indie"
612880,Wolfenstein II: The New Colossus,"October 26, 2017",1000000 - 2000000,39.99,86,22319,26618,7024,Bethesda Softworks,Action
1054630,Tank battle,"November 08, 2019",0 - 20000,4.99,69,0,0,0,黄金炫游科技有限公司,"Adventure,Indie,RPG,Simulation"
290770,The Fall,"May 30, 2014",200000 - 500000,9.99,76,2641,3094,416,Over The Moon,"Action,Adventure,Indie"
1135690,Unpacking,"November 01, 2021",200000 - 500000,19.99,84,12402,12760,1082,Humble Games,"Casual,Indie,Simulation"
897450,The Survivalists,"October 09, 2020",200000 - 500000,24.99,69,3670,3529,1139,Team17,"Action,Adventure,Casual,Indie"
301910,Saints Row: Gat out of Hell,"January 20, 2015",500000 - 1000000,14.99,66,6933,6642,2225,Deep Silver,Action
356650,Death's Gambit: Afterlife,"August 13, 2018",200000 - 500000,19.99,81,3240,3355,764,Serenity Forge,"Action,Adventure,Indie,RPG"
370220,Animal Gods,"October 12, 2015",0 - 20000,9.99,50,0,18,28,Still Games,"Action,Adventure,Indie"
607050,Wargroove,"February 01, 2019",500000 - 1000000,19.99,82,3475,3715,673,Chucklefish,"Indie,Strategy"
1213750,Fight Crab,"July 29, 2020",20000 - 50000,19.99,60,592,669,54,PLAYISM,"Action,Indie,Sports"
233190,Final Exam,"November 05, 2013",100000 - 200000,4.99,66,684,915,175,Focus Entertainment,"Action,Indie"
1466640,Road 96 🛣️,"August 16, 2021",1000000 - 2000000,19.96,79,8365,8618,776,"Digixart,Ravenscourt","Action,Adventure,Indie"
595060,Lionheart: Legacy of the Crusader,"March 15, 2017",50000 - 100000,9.99,57,0,75,15,Interplay Entertainment Corp.,"Action,Adventure,RPG"
228200,Company of Heroes,"September 11, 2006",1000000 - 2000000,19.99,93,7981,11836,714,SEGA,"Action,Strategy"
25850,Elven Legacy,"April 07, 2009",50000 - 100000,0.99,71,104,110,39,Fulqrum Publishing,"RPG,Strategy"
738540,Tales of Vesperia: Definitive Edition,"January 10, 2019",200000 - 500000,49.99,80,2587,2729,560,BANDAI NAMCO Entertainment,RPG
529440,Behold the Kickmen,"July 20, 2017",0 - 20000,3.99,58,361,330,49,Size Five Games,"Action,Casual,Indie,Sports"
327500,Zenzizenzic,"July 23, 2015",20000 - 50000,9.99,85,0,73,12,Adult Swim Games,"Action,Indie"
70300,VVVVVV,"September 07, 2010",500000 - 1000000,4.99,81,5365,8511,331,Terry Cavanagh,"Action,Indie"
21030,Watchmen: The End is Nigh Part 2,"July 29, 2009",20000 - 50000,4.99,44,175,128,67,Warner Bros. Interactive Entertainment,Action
418530,Spelunky 2,"September 29, 2020",500000 - 1000000,19.99,91,13529,13950,1007,Mossmouth,"Action,Indie"
234370,Shattered Haven,"March 18, 2013",50000 - 100000,9.99,59,0,28,65,"Arcen Games, LLC","Action,Adventure,Indie"
1238880,Battlefield™ Hardline,"June 11, 2020",200000 - 500000,9.99,71,1212,1561,695,Electronic Arts,Action
221910,The Stanley Parable,"October 17, 2013",2000000 - 5000000,14.99,88,37201,39132,3223,Galactic Cafe,"Adventure,Indie"
50100,Sid Meier's Civilization® V,"September 21, 2010",0 - 20000,29.99,90,113302,134711,5726,"2K,Aspyr (Mac),Aspyr (Linux)",Strategy
96000,The Tiny Bang Story,"April 22, 2011",5000000 - 10000000,4.99,63,3279,5215,741,Colibri Games,"Adventure,Casual,Indie"
473530,Slime-san: Superslime Edition,"April 07, 2017",0 - 20000,14.99,78,0,234,37,Headup,"Action,Adventure,Indie"
1406850,The Legend of Tianding,"November 01, 2021",50000 - 100000,19.99,80,1746,1797,68,Neon Doctrine,"Action,Adventure,RPG"
1839950,Terminator: Dark Fate - Defiance,"February 21, 2024",100000 - 200000,35.99,82,635,416,152,Slitherine Ltd.,Strategy
1238020,Mass Effect™ 3 N7 Digital Deluxe Edition (2012),"June 11, 2020",500000 - 1000000,29.99,89,1374,1475,460,Electronic Arts,"Action,RPG,Strategy"
1525660,Sunblaze,"June 03, 2021",0 - 20000,14.99,78,142,221,15,Bonus Stage Publishing,"Action,Adventure,Indie"
529660,Mages of Mystralia,"May 18, 2017",100000 - 200000,19.99,74,723,1061,168,Borealys Games,"Action,Adventure,Indie"
488730,God's Trigger,"April 18, 2019",50000 - 100000,14.99,75,348,581,199,Techland Publishing,"Action,Indie"
245170,Skullgirls 2nd Encore,"August 22, 2013",2000000 - 5000000,24.99,83,17535,24127,1533,Autumn Games,"Action,Indie"
421120,Samorost 3,"March 24, 2016",200000 - 500000,19.99,80,2829,3590,196,Amanita Design,"Adventure,Casual,Indie"
234630,Project CARS,"March 15, 2015",1000000 - 2000000,14.99,83,8528,10892,2950,"Codemasters,Slightly Mad Studios,Electronic Arts","Racing,Simulation,Sports"
755670,Sleep Tight,"July 26, 2018",0 - 20000,4.99,74,0,43,10,We Are Fuzzy,"Action,Indie,Strategy"
32360,The Secret of Monkey Island: Special Edition,"July 15, 2009",500000 - 1000000,9.99,86,3761,4127,195,"LucasArts,Lucasfilm,Disney",Adventure
1072420,DRAGON QUEST BUILDERS™ 2,"December 10, 2019",200000 - 500000,49.99,85,4562,4879,447,Square Enix,"Action,Adventure,RPG"
